1.我一定会的
100.和你相处了10个多月 虽然时间在走 但我们早已停在了10月之前。我们要是早一点相遇就好啦 早点或许就是我们了 好可惜并不是我们而是你我  我们有好久好久都没聊过天了 好想找你 但打出来的字又撤回了 怕你会说句绝情的话…你一定要照顾好自己  接下来的歌 你继续替我听吧 再见啦Y
101.马上练科二了，好希望驾照拿到手的。
102.没有“吧”
103.好好听
104.高考加油！心态放松尽力就好啦
105.是我吧
106.是我吧
107.因为一个人一直一个人
108.加油！
109.我的青春，也不是没伤痕。。。。啊啊啊啊，谁懂啊，太会写了
110.或许快乐更胜一筹
111.  @yeeeexysb 
112.或许到最后也会分开 就像她说的 总比我没有和她在一起时的各种摆烂好 总比我自己浑浑噩噩好 即使结局不好 总得去拼吧 如果最后也没成功就认了 我不想看到自己没努力去拼 然后我们因为层次的差异而被迫分开 希望明年不要后悔自己因为没有好好读书跟她的结局暗淡 会成功吧…会的！
113.我也明白 可是 可是我下一步究竟要怎么走
114.希望大家最后一张底牌是强大的内心
115.明年就要高考了 我们高二 她成绩真的很好 我五百多分 被她拉了差不多一百分 我们都好想考同一所大学 能走更远 但是我差的真的好多 我自己不愿意放弃 但是怕最后也走不到一起 和她太多美好的经历 很想走到最后 努力吧 拼四百多天
116.好喔宝宝
117.@1_向阳 是你是你
118.我和你 看不到未来 也回不到过去.
119.总以为自己想开了 但自己一个人静下来的时候 就好难过.
120.你明明对谁都一样 还非说我是唯一.
121.我放不下的人早已找到代替我的人.
122.今年的遗憾很多
123.幸福就像豆腐脑 有咸有甜反正都是稀碎
124.我站在人群中你朝我这个方向看了一眼我慌了.
125.抱抱你
126.可惜你不听林俊杰的歌 你也不懂我
127.但我还是很在意
128.河南老乡 加油！
129.你应该特别特别喜欢这首歌吧
130.我会成为一位人民教师吧
131.青春已经过半 但全都还是遗憾
132.谢谢宝宝[多多比耶]
133.怎么这样，真的好难过好难过
134.交朋友
135.我们都要
136.真的吗
137.我只要我这颗破碎的心 不再受到伤害
138.那天我根本就舍不得 但是我知道 再这样下去，我们也不会有好结果 我只能装作潇洒的离开 可能分开是最好的结果 反反复复的感情 无法理解的爱 我们都擅长口是心非却希望对方有所察觉 靠互相伤害来应承彼此的重要性 这样子的爱不如释怀 你选择逃避的时候 我发誓以后再也不要做傻事 那些承诺我替你抹去
139.那天晚上梦到你了 梦里我好开心 和刚开始一样 可惜已经走散了[流感]
140.我不信 除非你见过我不大的眼睛 不挺的鼻子 不白的皮肤 除非你见过我暴躁到发疯的样子 我才信你所说的喜欢
141.不怕别人说难听的话 就怕戳到我的软肋瞬间掉眼泪
142.wzz 大骗子
143.我走的每一步都是为了远离过去 但我最舍不得的也是过去
144.2023高考上岸！！
145.我的青春 也不是没伤痕
146.抱抱
147.我总说开心至上 可情绪哪有不被人左右的
148.直到彻底消失在彼此的生活里
149.他主动找你一下，你就又开始喜欢他了
150.→                                    ←
两手指向中间滑   你会发现神奇的一幕
151.早该想到会有这天   其实我们并不是一路人对吗？好快啊
152.怎么解脱才不痛苦
153.短暂的陪伴永恒的痛！
154.短暂的陪伴永恒的痛꒦ິ^꒦ິ
155.如果不顺路的话那就一个人走到天亮
156.这样短暂的陪伴算是奖励还是惩罚
157.你也走吗我的四季常青树
158.一本书只有一个结局 读两遍也是那个结局.
159.那就想一万遍吧  直到  彻底没感觉
160.你说的话那么多 唯独只把谎言留给了我.
161.梅子熟时 乍知春去 始觉情深
162.我故意不理你的时候其实我更难受.
163.考上高中！
164.诅咒你以后爱谁 都有我的影子.
165.我假装无所谓 却发现你是真的不在乎.
166.希望大家最后一张底牌是真诚
167.好听
168.我只想跟你走 可你从来都不抓紧我 所以我没说舍不得
169.陪一根
170.学习不好  长的不好看  原生家庭也不好 生活种没有任何光亮了
171.加油 也祝我中考顺利
172.我只想跟你走 可你从来都不抓紧我 所以我没说舍不得
173.没用 还是想和好
174.好e
175.怎么了[流泪]不好就业吗还是什么我想选英语专业师范方向
176.双向奔赴的爱情 真的很幸福 每天都是开心的 身边一直是自己爱的人 感觉自己好幸福
177.[流泪]
178.我的
179.陪一根
180.我又是谁的意难平.
181.我不希望你跟我提你以前的人 这样我好难受.
182.陪一根
183.我又是谁的青春呢.
184.把眼睛擦亮 以后别遇见我这样的了
185.不要选
186.不要选！！！
187.第一万三千零一个评论
188.顺其自然吧 不是每个问题都有答案 不是每一件事都能如愿
189.我好想你
190.真的好奇怪 被辜负的人永远在反省
191.我不会的[多多大哭]
192.追求自己喜欢的不要让自己后悔   我就勇敢的向自己喜欢的人表白了 今天是我们在一起的一个月
193.开开心心的
194.加油
195.我的青春也不是没伤痕 他们的诋毁我都埋在心底
196.我会考上江警吧
197.我心里全是事 疲惫 无奈 很累 生活没放过我 你也没放过我.
198.所以喜欢跟合适哪个重要呢
199.记住咯
200.最后五十天了，加油😊
